ID,duration,mix_wav,mix_wav_format,mix_wav_opts,s1_wav,s1_wav_format,s1_wav_opts,s2_wav,s2_wav_format,s2_wav_opts
0,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/019o030n_1.6943_028o030a_-1.6943.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/019o030n_1.6943_028o030a_-1.6943.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/019o030n_1.6943_028o030a_-1.6943.wav,wav,
1,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/40ec020o_1.3218_20ca010n_-1.3218.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/40ec020o_1.3218_20ca010n_-1.3218.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/40ec020o_1.3218_20ca010n_-1.3218.wav,wav,
2,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/01lo030u_2.1426_407o030b_-2.1426.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/01lo030u_2.1426_407o030b_-2.1426.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/01lo030u_2.1426_407o030b_-2.1426.wav,wav,
3,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/40oa010w_0.98228_40ka010r_-0.98228.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/40oa010w_0.98228_40ka010r_-0.98228.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/40oa010w_0.98228_40ka010r_-0.98228.wav,wav,
4,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/40lc020n_0.56084_20ja0101_-0.56084.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/40lc020n_0.56084_20ja0101_-0.56084.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/40lc020n_0.56084_20ja0101_-0.56084.wav,wav,
5,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/40mc020n_0.32128_01ao030q_-0.32128.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/40mc020n_0.32128_01ao030q_-0.32128.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/40mc020n_0.32128_01ao030q_-0.32128.wav,wav,
6,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/40gc020k_0.94893_01mc0208_-0.94893.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/40gc020k_0.94893_01mc0208_-0.94893.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/40gc020k_0.94893_01mc0208_-0.94893.wav,wav,
7,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/017o030d_1.5083_20ho0108_-1.5083.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/017o030d_1.5083_20ho0108_-1.5083.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/017o030d_1.5083_20ho0108_-1.5083.wav,wav,
8,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/01da0104_1.8246_01ko0316_-1.8246.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/01da0104_1.8246_01ko0316_-1.8246.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/01da0104_1.8246_01ko0316_-1.8246.wav,wav,
9,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/20mo0106_0.27324_40co030w_-0.27324.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/20mo0106_0.27324_40co030w_-0.27324.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/20mo0106_0.27324_40co030w_-0.27324.wav,wav,
10,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/20ko010n_0.074459_01ac021f_-0.074459.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/20ko010n_0.074459_01ac021f_-0.074459.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/20ko010n_0.074459_01ac021f_-0.074459.wav,wav,
11,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/01kc020m_1.2945_022c0203_-1.2945.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/01kc020m_1.2945_022c0203_-1.2945.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/01kc020m_1.2945_022c0203_-1.2945.wav,wav,
12,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/20qo010j_1.6657_025c020l_-1.6657.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/20qo010j_1.6657_025c020l_-1.6657.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/20qo010j_1.6657_025c020l_-1.6657.wav,wav,
13,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/20bo0106_1.1898_209o0101_-1.1898.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/20bo0106_1.1898_209o0101_-1.1898.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/20bo0106_1.1898_209o0101_-1.1898.wav,wav,
14,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/406o0310_2.1274_209o010o_-2.1274.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/406o0310_2.1274_209o010o_-2.1274.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/406o0310_2.1274_209o010o_-2.1274.wav,wav,
15,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/40ea010t_0.081233_01po030f_-0.081233.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/40ea010t_0.081233_01po030f_-0.081233.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/40ea010t_0.081233_01po030f_-0.081233.wav,wav,
16,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/40fa0107_0.26737_029o030g_-0.26737.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/40fa0107_0.26737_029o030g_-0.26737.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/40fa0107_0.26737_029o030g_-0.26737.wav,wav,
17,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/409o030z_0.017968_205o010p_-0.017968.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/409o030z_0.017968_205o010p_-0.017968.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/409o030z_0.017968_205o010p_-0.017968.wav,wav,
18,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/40co0317_1.4904_20va010t_-1.4904.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/40co0317_1.4904_20va010t_-1.4904.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/40co0317_1.4904_20va010t_-1.4904.wav,wav,
19,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/20mc010k_2.4194_20qo010n_-2.4194.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/20mc010k_2.4194_20qo010n_-2.4194.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/20mc010k_2.4194_20qo010n_-2.4194.wav,wav,
20,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/01nc020b_1.123_028o030k_-1.123.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/01nc020b_1.123_028o030k_-1.123.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/01nc020b_1.123_028o030k_-1.123.wav,wav,
21,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/01qa010i_0.83762_027o0307_-0.83762.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/01qa010i_0.83762_027o0307_-0.83762.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/01qa010i_0.83762_027o0307_-0.83762.wav,wav,
22,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/209a0106_1.9068_01pc021d_-1.9068.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/209a0106_1.9068_01pc021d_-1.9068.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/209a0106_1.9068_01pc021d_-1.9068.wav,wav,
23,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/405o030t_0.82977_018o0308_-0.82977.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/405o030t_0.82977_018o0308_-0.82977.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/405o030t_0.82977_018o0308_-0.82977.wav,wav,
24,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/20oc0102_2.171_024c0212_-2.171.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/20oc0102_2.171_024c0212_-2.171.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/20oc0102_2.171_024c0212_-2.171.wav,wav,
25,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/40ic020n_2.0245_208a010j_-2.0245.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/40ic020n_2.0245_208a010j_-2.0245.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/40ic020n_2.0245_208a010j_-2.0245.wav,wav,
26,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/403a010u_1.2331_014a010y_-1.2331.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/403a010u_1.2331_014a010y_-1.2331.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/403a010u_1.2331_014a010y_-1.2331.wav,wav,
27,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/026a010y_0.60288_409a0102_-0.60288.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/026a010y_0.60288_409a0102_-0.60288.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/026a010y_0.60288_409a0102_-0.60288.wav,wav,
28,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/011a010d_0.54422_20do010c_-0.54422.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/011a010d_0.54422_20do010c_-0.54422.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/011a010d_0.54422_20do010c_-0.54422.wav,wav,
29,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/20da0101_2.0639_018c0203_-2.0639.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/20da0101_2.0639_018c0203_-2.0639.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/20da0101_2.0639_018c0203_-2.0639.wav,wav,
30,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/207a010w_0.59925_02bo030p_-0.59925.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/207a010w_0.59925_02bo030p_-0.59925.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/207a010w_0.59925_02bo030p_-0.59925.wav,wav,
31,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/20kc010a_1.7523_40ac021d_-1.7523.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/20kc010a_1.7523_40ac021d_-1.7523.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/20kc010a_1.7523_40ac021d_-1.7523.wav,wav,
32,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/026a010u_0.24343_406c020v_-0.24343.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/026a010u_0.24343_406c020v_-0.24343.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/026a010u_0.24343_406c020v_-0.24343.wav,wav,
33,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/40bc020l_2.2854_40oc0210_-2.2854.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/40bc020l_2.2854_40oc0210_-2.2854.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/40bc020l_2.2854_40oc0210_-2.2854.wav,wav,
34,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/20ga010s_0.13848_02ec0203_-0.13848.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/20ga010s_0.13848_02ec0203_-0.13848.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/20ga010s_0.13848_02ec0203_-0.13848.wav,wav,
35,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/01to0309_2.4235_01qo030m_-2.4235.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/01to0309_2.4235_01qo030m_-2.4235.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/01to0309_2.4235_01qo030m_-2.4235.wav,wav,
36,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/401o031b_0.062179_019o030z_-0.062179.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/401o031b_0.062179_019o030z_-0.062179.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/401o031b_0.062179_019o030z_-0.062179.wav,wav,
37,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/40do0318_0.12874_01dc0207_-0.12874.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/40do0318_0.12874_01dc0207_-0.12874.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/40do0318_0.12874_01dc0207_-0.12874.wav,wav,
38,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/01nc0205_0.11667_01oc021e_-0.11667.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/01nc0205_0.11667_01oc021e_-0.11667.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/01nc0205_0.11667_01oc021e_-0.11667.wav,wav,
39,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/20to010e_0.70253_408c020e_-0.70253.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/20to010e_0.70253_408c020e_-0.70253.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/20to010e_0.70253_408c020e_-0.70253.wav,wav,
40,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/01ec0215_0.91752_407c0214_-0.91752.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/01ec0215_0.91752_407c0214_-0.91752.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/01ec0215_0.91752_407c0214_-0.91752.wav,wav,
41,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/02ac021d_2.3948_20la0106_-2.3948.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/02ac021d_2.3948_20la0106_-2.3948.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/02ac021d_2.3948_20la0106_-2.3948.wav,wav,
42,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/404a010h_1.21_02dc020i_-1.21.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/404a010h_1.21_02dc020i_-1.21.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/404a010h_1.21_02dc020i_-1.21.wav,wav,
43,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/404c020a_2.3224_01to0318_-2.3224.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/404c020a_2.3224_01to0318_-2.3224.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/404c020a_2.3224_01to0318_-2.3224.wav,wav,
44,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/20vc010g_0.14474_01xa0106_-0.14474.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/20vc010g_0.14474_01xa0106_-0.14474.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/20vc010g_0.14474_01xa0106_-0.14474.wav,wav,
45,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/027a0108_1.0089_20ja010i_-1.0089.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/027a0108_1.0089_20ja010i_-1.0089.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/027a0108_1.0089_20ja010i_-1.0089.wav,wav,
46,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/20aa010x_0.57905_40aa0110_-0.57905.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/20aa010x_0.57905_40aa0110_-0.57905.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/20aa010x_0.57905_40aa0110_-0.57905.wav,wav,
47,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/026c020l_2.1179_40pc020u_-2.1179.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/026c020l_2.1179_40pc020u_-2.1179.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/026c020l_2.1179_40pc020u_-2.1179.wav,wav,
48,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/207c010e_1.9871_40ha010k_-1.9871.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/207c010e_1.9871_40ha010k_-1.9871.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/207c010e_1.9871_40ha010k_-1.9871.wav,wav,
49,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/01lo0316_1.6432_01to030p_-1.6432.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/01lo0316_1.6432_01to030p_-1.6432.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/01lo0316_1.6432_01to030p_-1.6432.wav,wav,
50,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/40eo030j_0.68001_209c0103_-0.68001.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/40eo030j_0.68001_209c0103_-0.68001.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/40eo030j_0.68001_209c0103_-0.68001.wav,wav,
51,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/01nc0218_2.462_01co0303_-2.462.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/01nc0218_2.462_01co0303_-2.462.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/01nc0218_2.462_01co0303_-2.462.wav,wav,
52,1.0,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/mix/015a010n_2.4955_20aa010b_-2.4955.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s1/015a010n_2.4955_20aa010b_-2.4955.wav,wav,,/engram/naplab/projects/corpus/wsj0mix/2speakers/wav8k/min/cv/s2/015a010n_2.4955_20aa010b_-2.4955.wav,wav,
